PARTIDO_POLITICO,TEMAS,MES,TRIMESTRE
Partido Socialista de Chile,['salud'],June,2
Partido Socialista de Chile,"['crímenes', 'seguridad']",June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,['combustibles'],June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,['economía'],June,2
Partido Socialista de Chile,"['transporte', 'economía']",June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,['vivienda'],June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,"['educación', 'salud']",May,2
Partido Socialista de Chile,"['transporte', 'economía', 'inflación']",May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,['seguridad'],May,2
Partido Socialista de Chile,"['economía', 'seguridad']",May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,"['transporte', 'seguridad']",May,2
Partido Socialista de Chile,['educación'],May,2
Partido Socialista de Chile,"['vivienda', 'seguridad']",May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,['salud'],May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,['educación'],April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,['transporte'],April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,"['crímenes', 'seguridad']",April,1
Partido Socialista de Chile,['educación'],April,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,['seguridad'],March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,"['vivienda', 'salud', 'pensión', 'educación']",March,1
Partido Socialista de Chile,['pensión'],March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,['salud'],March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,"['transporte', 'vivienda']",March,1
Partido Socialista de Chile,['transporte'],March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,['vivienda'],March,1
Partido Socialista de Chile,['educación'],March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,['seguridad'],March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,"['vivienda', 'seguridad', 'transporte', 'educación', 'inflación', 'salud']",March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,['vivienda'],March,1
Partido Socialista de Chile,"['transporte', 'seguridad']",March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,"['vivienda', 'seguridad']",March,1
Partido Socialista de Chile,['seguridad'],February,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,"['salud', 'seguridad']",January,1
Partido Socialista de Chile,['seguridad'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['pensión'],January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,"['transporte', 'economía', 'salud']",January,1
Partido Socialista de Chile,"['transporte', 'salud']",January,1
Partido Socialista de Chile,['seguridad'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,"['educación', 'salud']",January,1
Partido Socialista de Chile,"['educación', 'salud']",January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,['educación'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['educación'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['vivienda'],January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,['educación'],January,1
Partido Socialista de Chile,['educación'],January,1
Partido Socialista de Chile,['educación'],January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,['educación'],January,1
Partido Socialista de Chile,['educación'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,"['educación', 'salud', 'seguridad']",January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,"['educación', 'salud', 'seguridad']",January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['educación'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,"['educación', 'salud']",January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,"['educación', 'salud']",January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['vivienda'],January,1
Partido Socialista de Chile,"['seguridad', 'economía', 'elecciones', 'educación', 'crímenes', 'inflación']",January,1
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,"['economía', 'educación']",June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,['seguridad'],June,2
Partido Republicano de Chile,['educación'],June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,['seguridad'],June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,['salud'],June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,['educación'],June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,['economía'],June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['seguridad'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['educación'],May,2
Partido Republicano de Chile,['educación'],May,2
Partido Republicano de Chile,['educación'],May,2
Partido Republicano de Chile,['educación'],May,2
Partido Republicano de Chile,['educación'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['economía'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['seguridad'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['economía'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['seguridad'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['salud'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['seguridad'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['economía'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['seguridad'],May,2
Partido Republicano de Chile,['economía'],May,2
Partido Republicano de Chile,['economía'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['salud'],May,2
Partido Republicano de Chile,"['economía', 'inflación', 'salud', 'seguridad']",May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['seguridad'],May,2
Partido Republicano de Chile,['educación'],May,2
Partido Republicano de Chile,['educación'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['vivienda'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['vivienda'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['seguridad'],May,2
Partido Republicano de Chile,['vivienda'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['vivienda'],May,2
Partido Republicano de Chile,['vivienda'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['seguridad'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['salud'],April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,['seguridad'],April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,['educación'],April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,['seguridad'],March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,['seguridad'],March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,['seguridad'],March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,['vivienda'],March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
