PARTIDO_POLITICO,TEMAS,MES,TRIMESTRE
Partido Socialista de Chile,['salud'],June,2
Partido Socialista de Chile,"['seguridad', 'crímenes']",June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,['combustibles'],June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,['economía'],June,2
Partido Socialista de Chile,"['transporte', 'economía']",June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,['vivienda'],June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,otros,June,2
Partido Socialista de Chile,"['salud', 'educación']",May,2
Partido Socialista de Chile,"['transporte', 'economía', 'inflación']",May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,['seguridad'],May,2
Partido Socialista de Chile,"['economía', 'seguridad']",May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,"['transporte', 'seguridad']",May,2
Partido Socialista de Chile,['educación'],May,2
Partido Socialista de Chile,"['vivienda', 'seguridad']",May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,['salud'],May,2
Partido Socialista de Chile,otros,May,2
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,['educación'],April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,['transporte'],April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,otros,April,1
Partido Socialista de Chile,"['seguridad', 'crímenes']",April,1
Partido Socialista de Chile,['educación'],April,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,['seguridad'],March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,"['vivienda', 'pensión', 'salud', 'educación']",March,1
Partido Socialista de Chile,['pensión'],March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,['salud'],March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,"['vivienda', 'transporte']",March,1
Partido Socialista de Chile,['transporte'],March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,['vivienda'],March,1
Partido Socialista de Chile,['educación'],March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,['seguridad'],March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,"['vivienda', 'inflación', 'transporte', 'salud', 'educación', 'seguridad']",March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,['vivienda'],March,1
Partido Socialista de Chile,"['transporte', 'seguridad']",March,1
Partido Socialista de Chile,otros,March,1
Partido Socialista de Chile,"['vivienda', 'seguridad']",March,1
Partido Socialista de Chile,['seguridad'],February,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,"['salud', 'seguridad']",January,1
Partido Socialista de Chile,['seguridad'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['pensión'],January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,"['salud', 'transporte', 'economía']",January,1
Partido Socialista de Chile,"['transporte', 'salud']",January,1
Partido Socialista de Chile,['seguridad'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,"['salud', 'educación']",January,1
Partido Socialista de Chile,"['salud', 'educación']",January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,['educación'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['educación'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['vivienda'],January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,['educación'],January,1
Partido Socialista de Chile,['educación'],January,1
Partido Socialista de Chile,['educación'],January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,['educación'],January,1
Partido Socialista de Chile,['educación'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,"['salud', 'educación', 'seguridad']",January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,"['salud', 'educación', 'seguridad']",January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['educación'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['salud'],January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,"['salud', 'educación']",January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,"['salud', 'educación']",January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,otros,January,1
Partido Socialista de Chile,['vivienda'],January,1
Partido Socialista de Chile,"['elecciones', 'inflación', 'economía', 'crímenes', 'educación', 'seguridad']",January,1
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,"['economía', 'educación']",June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,['seguridad'],June,2
Partido Republicano de Chile,['educación'],June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,['seguridad'],June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,['salud'],June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,['educación'],June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,['economía'],June,2
Partido Republicano de Chile,otros,June,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['seguridad'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['educación'],May,2
Partido Republicano de Chile,['educación'],May,2
Partido Republicano de Chile,['educación'],May,2
Partido Republicano de Chile,['educación'],May,2
Partido Republicano de Chile,['educación'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['economía'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['seguridad'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['economía'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['seguridad'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['salud'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['seguridad'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['economía'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['seguridad'],May,2
Partido Republicano de Chile,['economía'],May,2
Partido Republicano de Chile,['economía'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['salud'],May,2
Partido Republicano de Chile,"['salud', 'economía', 'seguridad', 'inflación']",May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['seguridad'],May,2
Partido Republicano de Chile,['educación'],May,2
Partido Republicano de Chile,['educación'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['vivienda'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['vivienda'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['seguridad'],May,2
Partido Republicano de Chile,['vivienda'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['vivienda'],May,2
Partido Republicano de Chile,['vivienda'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['seguridad'],May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,otros,May,2
Partido Republicano de Chile,['salud'],April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,['seguridad'],April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,['educación'],April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,otros,April,1
Partido Republicano de Chile,['seguridad'],March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,['seguridad'],March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,['seguridad'],March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,['vivienda'],March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,otros,March,1
Partido Republicano de Chile,"['economía', 'seguridad']",February,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,['seguridad'],January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,['salud'],January,1
Partido Republicano de Chile,['seguridad'],January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,['economía'],January,1
Partido Republicano de Chile,"['salud', 'seguridad']",January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,['seguridad'],January,1
Partido Republicano de Chile,"['economía', 'educación', 'seguridad']",January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,"['inflación', 'salud', 'economía', 'crímenes', 'seguridad']",January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
Partido Republicano de Chile,otros,January,1
,['vivienda'],June,2
,otros,June,2
,otros,June,2
,['seguridad'],June,2
,otros,June,2
,otros,June,2
,['seguridad'],June,2
,otros,June,2
,otros,June,2
,otros,June,2
,otros,June,2
,['vivienda'],June,2
,otros,June,2
,otros,June,2
,"['salud', 'educación']",June,2
,"['economía', 'elecciones']",June,2
,['salud'],May,2
,"['educación', 'seguridad']",May,2
,"['salud', 'educación']",May,2
,otros,May,2
,['educación'],May,2
,otros,May,2
,['salud'],May,2
,otros,May,2
,['salud'],May,2
,"['economía', 'combustibles']",May,2
,['vivienda'],May,2
,['vivienda'],April,1
,['seguridad'],April,1
,otros,April,1
,['seguridad'],April,1
,['seguridad'],April,1
,otros,April,1
,otros,April,1
,otros,April,1
,otros,April,1
,otros,April,1
,otros,April,1
,otros,April,1
,['seguridad'],April,1
,otros,April,1
,otros,April,1
,otros,April,1
,['vivienda'],April,1
,['seguridad'],April,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,['economía'],March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,['crímenes'],March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,['economía'],March,1
,otros,March,1
,['economía'],March,1
,otros,March,1
,otros,March,1
,['economía'],March,1
,otros,March,1
,"['salud', 'seguridad']",March,1
,otros,March,1
,['seguridad'],March,1
,otros,March,1
,otros,March,1
,['salud'],March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,['seguridad'],March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,"['economía', 'inflación']",March,1
,['salud'],March,1
,otros,January,1
,otros,January,1
,otros,January,1
,['seguridad'],January,1
,"['seguridad', 'crímenes']",January,1
,otros,January,1
,otros,January,1
,otros,January,1
,"['educación', 'seguridad']",January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,['seguridad'],January,1
,['seguridad'],January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,['seguridad'],January,1
,"['educación', 'seguridad']",January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,June,2
,otros,June,2
,otros,June,2
,['seguridad'],June,2
,otros,June,2
,otros,June,2
,otros,June,2
,otros,June,2
,['salud'],June,2
,"['pensión', 'seguridad']",June,2
,otros,June,2
,otros,June,2
,otros,May,2
,['educación'],May,2
,['educación'],May,2
,['educación'],May,2
,['educación'],May,2
,"['economía', 'inflación']",May,2
,"['vivienda', 'seguridad']",May,2
,['seguridad'],April,1
,['seguridad'],April,1
,"['pensión', 'seguridad']",April,1
,['educación'],April,1
,otros,April,1
,otros,April,1
,otros,April,1
,"['salud', 'educación', 'seguridad']",April,1
,['salud'],March,1
,['vivienda'],March,1
,"['salud', 'economía', 'seguridad']",March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,['inflación'],January,1
,otros,January,1
,otros,January,1
,['salud'],January,1
,"['pensión', 'seguridad']",January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,['elecciones'],January,1
,otros,January,1
,otros,January,1
,['salud'],January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,June,2
,['salud'],June,2
,['educación'],May,2
,otros,May,2
,['educación'],May,2
,otros,May,2
,otros,May,2
,['elecciones'],May,2
,['educación'],May,2
,otros,April,1
,['seguridad'],April,1
,otros,April,1
,otros,April,1
,otros,April,1
,otros,April,1
,otros,April,1
,['seguridad'],April,1
,['salud'],March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,March,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,otros,January,1
,"['salud', 'educación']",January,1
Partido por la Democracia,otros,June,2
Partido por la Democracia,otros,June,2
Partido por la Democracia,otros,June,2
Partido por la Democracia,"['pensión', 'salud', 'seguridad']",June,2
Partido por la Democracia,otros,June,2
Partido por la Democracia,"['pensión', 'inflación']",June,2
Partido por la Democracia,['economía'],June,2
Partido por la Democracia,['economía'],June,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,['economía'],May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,['vivienda'],May,2
Partido por la Democracia,['vivienda'],May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,['economía'],May,2
Partido por la Democracia,['elecciones'],May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,['economía'],May,2
Partido por la Democracia,['economía'],May,2
Partido por la Democracia,['economía'],May,2
Partido por la Democracia,['economía'],May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,['seguridad'],May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,['seguridad'],May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,"['salud', 'economía', 'seguridad']",May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,['seguridad'],May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,['economía'],May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,['economía'],May,2
Partido por la Democracia,"['economía', 'inflación']",May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,['economía'],May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,['economía'],May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,['economía'],May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,['vivienda'],May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,May,2
Partido por la Democracia,otros,April,1
Partido por la Democracia,otros,April,1
Partido por la Democracia,['pensión'],April,1
Partido por la Democracia,"['seguridad', 'crímenes']",April,1
Partido por la Democracia,otros,April,1
Partido por la Democracia,otros,March,1
Partido por la Democracia,['seguridad'],March,1
Partido por la Democracia,otros,March,1
Partido por la Democracia,otros,March,1
Partido por la Democracia,otros,March,1
Partido por la Democracia,otros,March,1
Partido por la Democracia,"['vivienda', 'pensión', 'salud', 'educación']",March,1
Partido por la Democracia,otros,March,1
Partido por la Democracia,otros,March,1
Partido por la Democracia,otros,March,1
Partido por la Democracia,otros,March,1
Partido por la Democracia,otros,February,1
Partido por la Democracia,otros,January,1
Partido por la Democracia,otros,January,1
Partido por la Democracia,otros,January,1
Partido por la Democracia,otros,January,1
